user_id,first_name,last_name,email,phone,assessment_id,score,assessment_date
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,1,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,3,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,2,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,4,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,5,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,6,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,7,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,8,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,9,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,10,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,11,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,12,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,13,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,14,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,15,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,16,4,2022-09-01
4,Colette,Drewitt,cdrewitt3@smugmug.com,382-211-1974,17,4,2022-09-01
